shapefile_field,full_field
state,state
district,district
scenario,scenario
year,year
ovr_risk,overall_risk_score
ovr_class,overall_risk_class
clim_conf,climate_confidence_score
fld_score,flood_hazard_score
fld_class,flood_hazard_class
drt_score,drought_hazard_score
drt_class,drought_hazard_class
ag_score,ag_stress_score
ag_class,ag_stress_class
wai,water_availability_index
rain_chg,annual_rainfall_change_pct
temp_anom,temperature_anomaly
sm_def,soil_moisture_deficit
wsi,water_security_index
heat35,heat_stress_days_35
cdd,cdd
cwd,cwd
xrain_chg,extreme_rainfall_change_pct
